date,count,type,color
6/30/17,2726,b,#9467bd
7/31/17,1853,a,#17becf
7/31/17,2174,c,#ff7f0e
7/31/17,2283,b,#9467bd
8/31/17,2224,a,#17becf
8/31/17,2660,c,#ff7f0e
8/31/17,2541,b,#9467bd
9/30/17,1924,a,#17becf
9/30/17,2313,c,#ff7f0e
9/30/17,2322,b,#9467bd
10/31/17,2078,a,#17becf
10/31/17,2482,c,#ff7f0e
10/31/17,2370,b,#9467bd
11/30/17,1957,a,#17becf
11/30/17,2322,c,#ff7f0e
11/30/17,2132,b,#9467bd
12/31/17,1603,a,#17becf
12/31/17,2129,c,#ff7f0e
12/31/17,2242,b,#9467bd
1/31/18,1961,a,#17becf
1/31/18,2432,c,#ff7f0e
1/31/18,2346,b,#9467bd
2/28/18,1398,a,#17becf
2/28/18,1853,c,#ff7f0e
2/28/18,2168,b,#9467bd
3/31/18,1788,a,#17becf
3/31/18,2262,c,#ff7f0e
3/31/18,2616,b,#9467bd
4/30/18,1631,a,#17becf
4/30/18,2080,c,#ff7f0e
4/30/18,2387,b,#9467bd
5/31/18,1930,a,#17becf
5/31/18,2435,c,#ff7f0e
5/31/18,2714,b,#9467bd
6/30/18,1746,a,#17becf
6/30/18,2245,c,#ff7f0e
6/30/18,2588,b,#9467bd
7/31/18,1651,a,#17becf
7/31/18,2039,c,#ff7f0e
7/31/18,2642,b,#9467bd
8/31/18,1922,a,#17becf
8/31/18,2456,c,#ff7f0e
8/31/18,2783,b,#9467bd
9/30/18,1714,a,#17becf
9/30/18,2250,c,#ff7f0e
9/30/18,2499,b,#9467bd
10/31/18,2037,a,#17becf
10/31/18,2701,c,#ff7f0e
10/31/18,2457,b,#9467bd
11/30/18,1525,a,#17becf
11/30/18,2206,c,#ff7f0e
11/30/18,2211,b,#9467bd
12/31/18,1271,a,#17becf
12/31/18,2116,c,#ff7f0e
12/31/18,2078,b,#9467bd
1/31/19,1703,a,#17becf
1/31/19,2482,c,#ff7f0e
1/31/19,2344,b,#9467bd
2/28/19,1595,a,#17becf
2/28/19,2327,c,#ff7f0e
2/28/19,2192,b,#9467bd
3/31/19,1502,a,#17becf
3/31/19,2387,c,#ff7f0e
3/31/19,2276,b,#9467bd
4/30/19,1703,a,#17becf
4/30/19,2506,c,#ff7f0e
4/30/19,2500,b,#9467bd
5/31/19,1734,a,#17becf
5/31/19,2424,c,#ff7f0e
5/31/19,2615,b,#9467bd
6/30/19,1557,a,#17becf
6/30/19,2152,c,#ff7f0e
6/30/19,2195,b,#9467bd
7/31/19,1494,a,#17becf
7/31/19,2199,c,#ff7f0e
7/31/19,2502,b,#9467bd
8/31/19,1564,a,#17becf
8/31/19,2559,c,#ff7f0e
8/31/19,2616,b,#9467bd
9/30/19,1709,a,#17becf
9/30/19,2508,c,#ff7f0e
9/30/19,2178,b,#9467bd
10/31/19,1705,a,#17becf
10/31/19,2663,c,#ff7f0e
10/31/19,2325,b,#9467bd
11/30/19,1291,a,#17becf
11/30/19,2156,c,#ff7f0e
11/30/19,1988,b,#9467bd
12/31/19,1322,a,#17becf
12/31/19,2368,c,#ff7f0e
12/31/19,2209,b,#9467bd
